platform,username,content,timestamp,likes,comments,shares
Twitter,@vlog_queen,Can’t stand fitness content today! #Startup,2025-08-19 07:17:43.300179,115,133,151
Instagram,@startup_singh,Obsessed with movies content today! #Bollywood,2025-08-15 13:17:43.300185,724,296,250
Twitter,@fitness_bhai,Can’t stand AI content today! #TravelIndia,2025-08-08 02:17:43.300194,511,203,454
YouTube,@startup_singh,Totally disappointed with movies content today! #Startup #Bollywood,2025-07-28 20:17:43.300201,87,188,192
Instagram,@vlog_queen,Absolutely loved startups content today! #Tech,2025-08-12 11:17:43.300206,468,50,10
Instagram,@bollywood_buff,Inspired by startups content today! #AI,2025-08-10 10:17:43.300211,827,100,113
Twitter,@tech_guru,Inspired by travel content today! #FitnessGoals #AI #Bollywood,2025-08-18 19:17:43.300216,168,267,271
Instagram,@foodie_rani,Totally disappointed with movies content today! #TravelIndia,2025-08-08 19:17:43.300221,720,170,335
Twitter,@chai_coder,Absolutely loved fitness content today! #FitnessGoals #Tech,2025-07-24 21:17:43.300225,448,184,364
Twitter,@rahul_dev,Excited to explore movies content today! #TravelIndia #Tech,2025-08-09 13:17:43.300230,279,17,414
Instagram,@travel_diaries,Obsessed with movies content today! #FitnessGoals #Bollywood,2025-08-19 21:17:43.300235,534,246,158
YouTube,@fitness_bhai,Obsessed with AI content today! #Foodie #Cricket #AI,2025-08-19 21:17:43.300240,662,298,105
Twitter,@rahul_dev,Absolutely loved travel content today! #AI,2025-07-31 12:17:43.300245,536,90,349
Twitter,@bollywood_buff,Totally disappointed with cricket content today! #Startup,2025-08-14 21:17:43.300249,488,227,208
Instagram,@tech_guru,Inspired by travel content today! #Bollywood,2025-08-14 03:17:43.300254,741,149,124
Twitter,@startup_singh,Can’t stand movies content today! #Tech #Foodie,2025-08-18 04:17:43.300259,249,184,392
Instagram,@chai_coder,Can’t stand travel content today! #FitnessGoals #Cricket #Tech,2025-07-30 12:17:43.300263,188,61,324
YouTube,@startup_singh,Absolutely loved startups content today! #Bollywood #Foodie,2025-08-03 18:17:43.300268,426,239,362
YouTube,@tech_guru,Obsessed with AI content today! #TravelIndia #Startup,2025-08-05 04:17:43.300272,675,144,500
Instagram,@tech_guru,Frustrated by travel content today! #Startup #FitnessGoals,2025-08-21 05:17:43.300277,407,300,463
YouTube,@travel_diaries,Totally disappointed with movies content today! #TravelIndia,2025-08-17 02:17:43.300282,556,158,306
Instagram,@bollywood_buff,Obsessed with movies content today! #FitnessGoals,2025-07-22 17:17:43.300286,795,32,432
YouTube,@chai_coder,Can’t stand movies content today! #Foodie #TravelIndia #Cricket,2025-08-12 02:17:43.300292,119,160,15
Instagram,@rahul_dev,Excited to explore movies content today! #Cricket #Tech #Bollywood,2025-07-24 06:17:43.300296,399,248,225
Twitter,@foodie_rani,Totally disappointed with AI content today! #Foodie,2025-08-17 06:17:43.300301,741,239,93
Twitter,@vlog_queen,Inspired by movies content today! #Startup #Cricket,2025-07-24 02:17:43.300305,507,278,386
Twitter,@startup_singh,Can’t stand movies content today! #Bollywood,2025-08-03 10:17:43.300309,54,90,131
Twitter,@tech_guru,Obsessed with fitness content today! #TravelIndia,2025-08-05 00:17:43.300314,281,193,165
Instagram,@foodie_rani,Totally disappointed with movies content today! #Bollywood #FitnessGoals #Cricket,2025-08-19 07:17:43.300319,798,110,437
YouTube,@fitness_bhai,Inspired by AI content today! #AI #TravelIndia #FitnessGoals,2025-07-30 18:17:43.300323,489,244,341
Instagram,@vlog_queen,Can’t stand food content today! #TravelIndia #Startup,2025-08-10 07:17:43.300328,188,67,207
Twitter,@tech_guru,Inspired by travel content today! #Bollywood #Foodie,2025-08-12 02:17:43.300332,489,176,359
Instagram,@cricket_fan,Absolutely loved travel content today! #Bollywood #Cricket,2025-08-05 08:17:43.300337,392,114,210
YouTube,@travel_diaries,Absolutely loved cricket content today! #Foodie #TravelIndia,2025-08-14 14:17:43.300341,678,39,456
YouTube,@foodie_rani,Totally disappointed with food content today! #Cricket #Foodie #FitnessGoals,2025-08-21 05:17:43.300347,83,41,322
Instagram,@foodie_rani,Totally disappointed with cricket content today! #Cricket #Foodie #Tech,2025-07-25 04:17:43.300351,102,110,379
Instagram,@cricket_fan,Can’t stand food content today! #Bollywood #AI #TravelIndia,2025-08-10 17:17:43.300356,438,137,27
YouTube,@chai_coder,Totally disappointed with travel content today! #FitnessGoals #Bollywood #Foodie,2025-07-23 02:17:43.300361,592,219,454
Twitter,@foodie_rani,Inspired by movies content today! #TravelIndia,2025-08-14 13:17:43.300366,194,231,416
Instagram,@foodie_rani,Absolutely loved travel content today! #AI #Foodie,2025-08-19 16:17:43.300370,968,42,311
Instagram,@fitness_bhai,Frustrated by startups content today! #Bollywood #AI,2025-07-23 05:17:43.300375,783,147,123
Twitter,@rahul_dev,Frustrated by travel content today! #Bollywood,2025-07-31 12:17:43.300379,667,85,182
Instagram,@bollywood_buff,Totally disappointed with cricket content today! #Tech #FitnessGoals,2025-08-13 22:17:43.300384,388,97,434
YouTube,@travel_diaries,Absolutely loved food content today! #Startup #FitnessGoals #Tech,2025-08-21 08:17:43.300389,704,40,167
Instagram,@chai_coder,Excited to explore startups content today! #AI #TravelIndia,2025-07-21 19:17:43.300393,662,66,418
YouTube,@bollywood_buff,Excited to explore travel content today! #Cricket #AI,2025-08-05 04:17:43.300397,128,228,3
Instagram,@fitness_bhai,Frustrated by startups content today! #Startup #Cricket #Tech,2025-08-06 14:17:43.300402,187,32,466
Twitter,@startup_singh,Totally disappointed with fitness content today! #Foodie #Tech,2025-08-02 21:17:43.300407,340,19,248
Twitter,@rahul_dev,Frustrated by cricket content today! #AI,2025-07-26 14:17:43.300411,191,269,125
Instagram,@vlog_queen,Frustrated by cricket content today! #Startup,2025-07-27 20:17:43.300415,387,179,491
Twitter,@cricket_fan,Inspired by fitness content today! #AI #FitnessGoals,2025-08-10 10:17:43.300420,491,200,120
Instagram,@travel_diaries,Frustrated by AI content today! #AI #FitnessGoals,2025-08-04 13:17:43.300426,768,271,123
YouTube,@tech_guru,Inspired by food content today! #FitnessGoals,2025-08-07 21:17:43.300430,307,67,280
Twitter,@startup_singh,Totally disappointed with movies content today! #Bollywood #FitnessGoals #Cricket,2025-07-25 05:17:43.300435,85,266,294
YouTube,@vlog_queen,Excited to explore movies content today! #Tech,2025-08-07 21:17:43.300439,920,286,309
YouTube,@chai_coder,Obsessed with AI content today! #Foodie,2025-07-26 11:17:43.300443,33,145,319
Instagram,@rahul_dev,Totally disappointed with travel content today! #Tech #Cricket #FitnessGoals,2025-08-11 08:17:43.300448,871,113,102
YouTube,@bollywood_buff,Can’t stand fitness content today! #AI,2025-08-03 03:17:43.300452,830,250,120
Twitter,@startup_singh,Frustrated by cricket content today! #Foodie #Tech #Bollywood,2025-07-23 10:17:43.300456,720,7,292
Instagram,@rahul_dev,Inspired by movies content today! #Bollywood,2025-07-22 05:17:43.300460,577,59,137
Instagram,@bollywood_buff,Frustrated by AI content today! #Tech #Foodie,2025-08-09 10:17:43.300465,587,248,192
Instagram,@fitness_bhai,Obsessed with movies content today! #Bollywood #Foodie,2025-08-11 17:17:43.300469,938,199,302
YouTube,@fitness_bhai,Excited to explore startups content today! #Foodie #Cricket #Bollywood,2025-08-02 09:17:43.300474,331,3,111
YouTube,@bollywood_buff,Absolutely loved cricket content today! #Tech,2025-07-24 06:17:43.300478,708,156,134
Instagram,@bollywood_buff,Excited to explore startups content today! #FitnessGoals #Foodie #AI,2025-08-10 00:17:43.300482,588,225,75
YouTube,@foodie_rani,Inspired by food content today! #Cricket,2025-08-03 09:17:43.300486,627,99,344
Instagram,@chai_coder,Frustrated by startups content today! #Startup,2025-08-05 18:17:43.300491,455,5,25
YouTube,@vlog_queen,Can’t stand movies content today! #Tech,2025-07-27 20:17:43.300496,78,58,44
Instagram,@chai_coder,Frustrated by cricket content today! #Bollywood #Foodie #FitnessGoals,2025-08-02 08:17:43.300500,188,273,65
YouTube,@fitness_bhai,Excited to explore travel content today! #Startup,2025-08-04 04:17:43.300504,869,108,399
YouTube,@bollywood_buff,Totally disappointed with fitness content today! #Tech,2025-08-12 14:17:43.300509,911,83,326
YouTube,@startup_singh,Can’t stand cricket content today! #FitnessGoals #Startup,2025-08-12 10:17:43.300514,789,52,74
Twitter,@vlog_queen,Totally disappointed with AI content today! #TravelIndia #FitnessGoals #Startup,2025-08-10 11:17:43.300518,27,204,14
YouTube,@foodie_rani,Totally disappointed with cricket content today! #Cricket #Startup,2025-08-20 02:17:43.300522,114,199,249
YouTube,@fitness_bhai,Excited to explore movies content today! #Tech #Foodie,2025-08-02 16:17:43.300526,635,95,448
Twitter,@travel_diaries,Totally disappointed with cricket content today! #Startup #Bollywood #AI,2025-07-26 12:17:43.300531,681,101,248
Twitter,@travel_diaries,Totally disappointed with movies content today! #Cricket,2025-08-04 23:17:43.300535,908,122,365
YouTube,@vlog_queen,Absolutely loved food content today! #Foodie,2025-07-31 03:17:43.300540,29,275,104
Instagram,@startup_singh,Frustrated by food content today! #TravelIndia #Foodie #Startup,2025-08-10 05:17:43.300545,182,192,121
Twitter,@vlog_queen,Frustrated by AI content today! #Startup #Bollywood #Foodie,2025-08-16 13:17:43.300549,840,226,52
Instagram,@rahul_dev,Inspired by AI content today! #Bollywood #FitnessGoals,2025-08-12 10:17:43.300554,283,171,15
YouTube,@travel_diaries,Totally disappointed with startups content today! #FitnessGoals #Startup #Tech,2025-07-26 03:17:43.300558,264,118,37
YouTube,@vlog_queen,Obsessed with food content today! #Foodie #AI,2025-08-13 23:17:43.300562,851,20,296
Instagram,@bollywood_buff,Inspired by fitness content today! #TravelIndia #FitnessGoals #Bollywood,2025-07-31 12:17:43.300567,729,290,60
YouTube,@vlog_queen,Frustrated by AI content today! #Startup #Bollywood,2025-07-24 21:17:43.300571,847,219,130
Instagram,@fitness_bhai,Frustrated by movies content today! #Cricket #FitnessGoals #Bollywood,2025-08-05 17:17:43.300576,420,187,164
Instagram,@travel_diaries,Obsessed with food content today! #Bollywood #Tech #Foodie,2025-07-31 11:17:43.300580,240,4,285
Twitter,@chai_coder,Absolutely loved AI content today! #Foodie #Startup,2025-08-19 08:17:43.300585,398,290,204
Twitter,@cricket_fan,Can’t stand movies content today! #Bollywood #Cricket,2025-08-14 11:17:43.300589,200,221,400
Twitter,@travel_diaries,Excited to explore fitness content today! #FitnessGoals,2025-08-07 20:17:43.300593,296,96,79
Twitter,@tech_guru,Inspired by startups content today! #Foodie #FitnessGoals,2025-07-24 03:17:43.300598,467,222,303
Instagram,@foodie_rani,Absolutely loved fitness content today! #Cricket #Startup #TravelIndia,2025-07-26 11:17:43.300602,30,124,107
Instagram,@startup_singh,Absolutely loved cricket content today! #TravelIndia #Tech,2025-07-31 03:17:43.300606,536,298,187
Twitter,@chai_coder,Excited to explore fitness content today! #FitnessGoals,2025-07-26 13:17:43.300611,123,176,232
Instagram,@travel_diaries,Absolutely loved AI content today! #Cricket #TravelIndia #Bollywood,2025-08-12 17:17:43.300616,628,268,231
Instagram,@startup_singh,Absolutely loved movies content today! #Foodie,2025-08-13 04:17:43.300621,475,85,134
YouTube,@chai_coder,Totally disappointed with movies content today! #TravelIndia,2025-07-29 02:17:43.300625,783,180,93
YouTube,@foodie_rani,Excited to explore movies content today! #Bollywood #TravelIndia #Startup,2025-08-17 19:17:43.300629,784,144,492
YouTube,@cricket_fan,Frustrated by food content today! #Cricket #TravelIndia #AI,2025-08-04 22:17:43.300634,473,256,415
Instagram,@chai_coder,Frustrated by movies content today! #Tech #FitnessGoals #Bollywood,2025-07-23 02:17:43.300639,102,214,37
Instagram,@fitness_bhai,Frustrated by AI content today! #Bollywood,2025-08-06 04:17:43.300643,47,130,77
Instagram,@cricket_fan,Excited to explore travel content today! #Foodie #FitnessGoals,2025-07-29 13:17:43.300647,636,143,377
Instagram,@startup_singh,Inspired by travel content today! #AI #Foodie #Startup,2025-08-20 14:17:43.300652,548,249,486
Twitter,@chai_coder,Excited to explore startups content today! #Foodie #Tech,2025-08-10 01:17:43.300656,73,98,42
Instagram,@bollywood_buff,Absolutely loved food content today! #Startup #Cricket #Tech,2025-08-07 17:17:43.300661,784,60,37
YouTube,@vlog_queen,Inspired by startups content today! #Startup #FitnessGoals,2025-07-25 20:17:43.300665,497,157,24
YouTube,@chai_coder,Totally disappointed with AI content today! #AI,2025-08-04 15:17:43.300669,796,37,177
Twitter,@tech_guru,Can’t stand fitness content today! #TravelIndia #Tech #FitnessGoals,2025-07-28 06:17:43.300674,991,92,360
Instagram,@fitness_bhai,Can’t stand travel content today! #Tech,2025-08-04 11:17:43.300678,952,258,110
YouTube,@chai_coder,Obsessed with startups content today! #Tech #AI #Foodie,2025-08-02 21:17:43.300683,374,239,193
Twitter,@tech_guru,Can’t stand fitness content today! #Bollywood #Tech,2025-08-06 23:17:43.300697,90,244,375
Instagram,@bollywood_buff,Excited to explore AI content today! #Foodie,2025-08-16 05:17:43.300702,42,14,328
Twitter,@travel_diaries,Excited to explore food content today! #Foodie,2025-07-27 23:17:43.300706,800,271,472
YouTube,@cricket_fan,Absolutely loved travel content today! #Tech,2025-08-14 00:17:43.300710,634,38,173
Instagram,@bollywood_buff,Excited to explore cricket content today! #Startup #Foodie,2025-08-20 16:17:43.300714,37,279,97
YouTube,@foodie_rani,Excited to explore fitness content today! #Startup #AI #TravelIndia,2025-07-28 10:17:43.300719,389,238,115
YouTube,@cricket_fan,Totally disappointed with fitness content today! #AI,2025-08-02 07:17:43.300723,559,164,192
YouTube,@fitness_bhai,Totally disappointed with movies content today! #Bollywood #Cricket #Tech,2025-07-24 00:17:43.300728,199,267,258
YouTube,@foodie_rani,Obsessed with travel content today! #TravelIndia,2025-07-30 00:17:43.300732,325,234,271
Instagram,@fitness_bhai,Absolutely loved startups content today! #Startup #FitnessGoals #Foodie,2025-07-22 00:17:43.300736,849,254,120
Instagram,@chai_coder,Frustrated by AI content today! #Cricket #FitnessGoals,2025-07-31 08:17:43.300740,449,139,429
Twitter,@bollywood_buff,Frustrated by travel content today! #TravelIndia #Bollywood #FitnessGoals,2025-08-06 20:17:43.300745,670,278,497
Twitter,@foodie_rani,Excited to explore startups content today! #Startup,2025-08-08 14:17:43.300749,427,159,38
Instagram,@vlog_queen,Can’t stand food content today! #FitnessGoals #Tech,2025-07-27 04:17:43.300753,969,192,46
Twitter,@foodie_rani,Absolutely loved food content today! #Foodie,2025-08-02 06:17:43.300757,228,269,61
Twitter,@foodie_rani,Inspired by movies content today! #Tech #FitnessGoals,2025-07-24 04:17:43.300762,982,253,383
Instagram,@bollywood_buff,Obsessed with startups content today! #FitnessGoals #AI #Bollywood,2025-08-02 06:17:43.300766,983,52,204
YouTube,@fitness_bhai,Inspired by fitness content today! #Foodie #Tech,2025-08-07 05:17:43.300771,712,0,500
Twitter,@chai_coder,Can’t stand startups content today! #Foodie #FitnessGoals,2025-08-10 05:17:43.300775,764,35,270
Twitter,@tech_guru,Can’t stand cricket content today! #FitnessGoals,2025-08-03 12:17:43.300779,816,122,353
Twitter,@rahul_dev,Frustrated by cricket content today! #Tech #Bollywood #FitnessGoals,2025-08-20 03:17:43.300784,92,256,370
Twitter,@chai_coder,Can’t stand fitness content today! #Tech,2025-08-02 03:17:43.300788,824,175,102
Twitter,@tech_guru,Absolutely loved startups content today! #Foodie,2025-08-07 23:17:43.300792,657,154,299
Instagram,@fitness_bhai,Totally disappointed with cricket content today! #TravelIndia,2025-08-18 01:17:43.300796,145,26,77
YouTube,@travel_diaries,Inspired by travel content today! #TravelIndia,2025-07-22 10:17:43.300801,564,105,214
YouTube,@chai_coder,Totally disappointed with travel content today! #AI #Cricket,2025-07-22 01:17:43.300805,637,209,100
YouTube,@bollywood_buff,Obsessed with fitness content today! #Tech #Foodie,2025-08-19 16:17:43.300810,90,275,351
Instagram,@bollywood_buff,Can’t stand AI content today! #TravelIndia #Cricket,2025-07-25 14:17:43.300814,907,172,353
Instagram,@fitness_bhai,Obsessed with travel content today! #AI #TravelIndia,2025-07-30 04:17:43.300818,941,193,381
Instagram,@bollywood_buff,Frustrated by movies content today! #Foodie #TravelIndia #AI,2025-08-13 20:17:43.300823,643,44,335
Instagram,@bollywood_buff,Obsessed with cricket content today! #Cricket,2025-08-14 06:17:43.300827,211,66,329
Twitter,@rahul_dev,Can’t stand startups content today! #AI #Bollywood #Cricket,2025-08-14 02:17:43.300833,575,199,250
Instagram,@travel_diaries,Excited to explore fitness content today! #TravelIndia,2025-07-31 19:17:43.300837,903,201,7
YouTube,@fitness_bhai,Excited to explore AI content today! #Bollywood #Cricket #TravelIndia,2025-07-26 05:17:43.300842,353,197,418
YouTube,@cricket_fan,Excited to explore AI content today! #FitnessGoals #Startup #TravelIndia,2025-08-20 23:17:43.300847,912,214,340
Instagram,@chai_coder,Excited to explore movies content today! #TravelIndia #FitnessGoals #Tech,2025-08-11 02:17:43.300851,613,188,356
Instagram,@rahul_dev,Excited to explore food content today! #Bollywood #TravelIndia #AI,2025-08-16 11:17:43.300856,945,162,290
Twitter,@tech_guru,Totally disappointed with cricket content today! #AI,2025-08-07 19:17:43.300860,593,63,378
Instagram,@chai_coder,Can’t stand travel content today! #Bollywood #TravelIndia #Startup,2025-08-10 04:17:43.300865,107,276,153
Twitter,@tech_guru,Obsessed with fitness content today! #Startup,2025-08-01 06:17:43.300869,890,157,37
YouTube,@bollywood_buff,Can’t stand fitness content today! #Foodie,2025-07-21 18:17:43.300873,396,144,32
YouTube,@fitness_bhai,Can’t stand cricket content today! #Foodie,2025-07-31 18:17:43.300877,958,282,216
Instagram,@startup_singh,Obsessed with travel content today! #Tech #FitnessGoals #Bollywood,2025-07-24 02:17:43.300883,389,64,37
YouTube,@startup_singh,Absolutely loved startups content today! #Cricket #FitnessGoals,2025-07-30 03:17:43.300887,587,100,131
Twitter,@travel_diaries,Excited to explore movies content today! #AI #Cricket,2025-08-06 15:17:43.300892,702,52,16
Twitter,@vlog_queen,Obsessed with food content today! #Startup #TravelIndia #Bollywood,2025-07-26 06:17:43.300896,835,184,305
YouTube,@startup_singh,Inspired by cricket content today! #Cricket #AI,2025-08-15 23:17:43.300901,360,272,82
